iter	MultiClass
0	1.377952908
1	1.192302442
2	1.04673761
3	0.9469770339
4	0.8773264976
5	0.8242555622
6	0.7846320344
7	0.7508425278
8	0.723075327
9	0.7063366918
10	0.6889092722
11	0.6741785734
12	0.6604327521
13	0.6463340385
14	0.6364480761
15	0.6253428509
16	0.615385897
17	0.6102820841
18	0.6004467774
19	0.5945810972
20	0.5887915655
21	0.5828106168
22	0.5742739061
23	0.5691667953
24	0.5622800331
25	0.5559047387
26	0.5518057221
27	0.5471898624
28	0.5414293758
29	0.5385280007
30	0.5339365692
31	0.5298790846
32	0.5286673845
33	0.524580046
34	0.5194527314
35	0.5144624083
36	0.50917108
37	0.5056900162
38	0.5025041084
39	0.4951289444
40	0.4903483688
41	0.4857307757
42	0.4798979752
43	0.4743074491
44	0.4706930378
45	0.4663478851
46	0.4615850482
47	0.4588316585
48	0.4552162943
49	0.4516094272
50	0.4494353639
51	0.4461313084
52	0.4424137616
53	0.4383557055
54	0.4347300768
55	0.4300851517
56	0.4271999028
57	0.4241011821
58	0.4212548383
59	0.4192390837
60	0.4171419704
61	0.4144196783
62	0.4121236361
63	0.4095261016
64	0.4062484708
65	0.4029495482
66	0.4004214443
67	0.3981498511
68	0.3954257634
69	0.3937418233
70	0.3913412205
71	0.3896491704
72	0.3878201425
73	0.3848629425
74	0.3834408687
75	0.3804666653
76	0.3779000226
77	0.3753458096
78	0.3732753275
79	0.3714573732
80	0.3694912822
81	0.3673925954
82	0.3660554835
83	0.3642126665
84	0.3619417929
85	0.3600560477
86	0.3584747772
87	0.3573098143
88	0.3547798365
89	0.3526170799
90	0.3510274731
91	0.3496049496
92	0.3479926892
93	0.3464876676
94	0.3449346165
95	0.3427470362
96	0.3411992276
97	0.339781378
98	0.3385863241
99	0.3375778616
100	0.336072284
101	0.3345932457
102	0.3326440114
103	0.3308444531
104	0.3291626067
105	0.3267350768
106	0.3251658808
107	0.3233198423
108	0.3214334693
109	0.3202206902
110	0.3191793566
111	0.3174991367
112	0.3159093806
113	0.3141916061
114	0.3120977547
115	0.3106116345
116	0.3094790226
117	0.3082121064
118	0.3072816845
119	0.3062556045
120	0.3050361972
121	0.3034291931
122	0.3023524082
123	0.3013536543
124	0.2992341756
125	0.2980621561
126	0.2960371875
127	0.2951521342
128	0.2947400672
