iter	Passed	Remaining
0	132	57181
1	264	56939
2	409	58721
3	555	59610
4	713	61095
5	865	61585
6	1007	61340
7	1146	60898
8	1283	60471
9	1414	59825
10	1561	59922
11	1692	59367
12	1814	58610
13	1950	58384
14	2081	57999
15	2209	57595
16	2338	57229
17	2464	56830
18	2607	56815
19	2733	56448
20	2862	56162
21	3007	56176
22	3149	56147
23	3282	55944
24	3416	55764
25	3558	55709
26	3691	55505
27	3825	55332
28	3956	55122
29	4079	54795
30	4209	54587
31	4340	54392
32	4470	54187
33	4602	54013
34	4728	53770
35	4853	53523
36	4978	53282
37	5104	53060
38	5243	52969
39	5399	53050
40	5558	53143
41	5696	53030
42	5827	52854
43	5959	52691
44	6098	52579
45	6262	52690
46	6406	52619
47	6538	52444
48	6666	52241
49	6788	51999
50	6918	51822
51	7057	51710
52	7191	51560
53	7328	51434
54	7468	51331
55	7639	51432
56	7791	51393
57	7936	51315
58	8087	51265
59	8228	51156
60	8370	51048
61	8497	50850
62	8628	50672
63	8750	50449
64	8877	50258
65	9001	50054
66	9131	49882
67	9254	49676
68	9403	49608
69	9539	49467
70	9681	49360
71	9834	49310
72	9974	49187
73	10120	49096
74	10262	48984
75	10408	48893
76	10546	48760
77	10689	48651
78	10825	48510
79	10959	48359
80	11089	48190
81	11227	48059
82	11360	47907
83	11487	47726
84	11618	47569
85	11761	47454
86	11902	47334
87	12039	47201
88	12201	47160
89	12341	47035
90	12484	46918
91	12620	46779
92	12758	46643
93	12899	46519
94	13040	46396
95	13168	46226
96	13298	46065
97	13425	45894
98	13544	45695
99	13707	45644
100	13836	45481
101	13964	45315
102	14100	45175
103	14224	44997
104	14359	44854
105	14510	44764
106	14645	44621
107	14775	44464
108	14911	44324
109	15061	44226
110	15209	44119
111	15342	43971
112	15469	43808
113	15620	43709
114	15774	43621
115	15938	43555
116	16065	43390
117	16191	43223
118	16327	43083
119	16455	42920
120	16593	42786
121	16737	42667
122	16883	42551
123	17023	42420
124	17163	42290
125	17295	42139
126	17432	42001
127	17558	41839
128	17690	41689
129	17818	41531
130	17948	41376
131	18069	41203
132	18198	41049
133	18330	40900
134	18452	40733
135	18589	40596
136	18734	40478
137	18864	40325
138	19009	40206
139	19144	40067
140	19277	39921
141	19412	39781
142	19546	39638
143	19684	39505
144	19811	39349
145	19933	39183
146	20056	39021
147	20065	38640
148	20192	38487
149	20322	38342
150	20493	38272
151	20502	37902
152	20635	37764
153	20763	37616
154	20898	37482
155	21030	37342
156	21167	37211
157	21307	37086
158	21444	36955
159	21594	36845
160	21730	36711
161	21861	36570
162	22008	36455
163	22133	36304
164	22259	36154
165	22389	36011
166	22532	35890
167	22660	35744
168	22795	35609
169	22925	35466
170	23050	35316
171	23173	35164
172	23304	35024
173	23441	34893
174	23592	34781
175	23731	34653
176	23882	34541
177	24054	34460
178	24223	34372
179	24397	34291
180	24549	34178
181	24684	34042
182	24823	33912
183	24954	33770
184	25086	33630
185	25221	33493
186	25352	33351
187	25476	33200
188	25605	33056
189	25743	32924
190	25899	32815
191	26054	32703
192	26195	32575
193	26327	32434
194	26466	32302
195	26596	32159
196	26731	32022
197	26869	31890
198	27007	31757
199	27153	31634
200	27306	31518
201	27468	31411
202	27624	31298
203	27759	31161
204	27921	31053
205	28081	30944
206	28248	30841
207	28444	30768
208	28730	30792
209	28924	30714
210	29088	30604
211	29249	30491
212	29412	30378
213	29571	30262
214	29710	30124
215	29843	29981
216	29976	29838
217	30124	29710
218	30287	29596
219	30429	29461
220	30576	29330
221	30718	29196
222	30897	29096
223	31081	28999
224	31263	28900
225	31446	28802
226	31615	28691
227	31824	28614
228	32007	28512
229	32163	28387
230	32309	28253
231	32446	28111
232	32583	27968
233	32742	27844
234	32880	27703
235	33023	27566
236	33163	27426
237	33303	27286
238	33451	27152
239	33593	27014
240	33732	26873
241	33892	26749
242	34053	26625
243	34208	26497
244	34380	26381
245	34526	26245
246	34671	26108
247	34806	25964
248	34960	25833
249	35110	25701
250	35255	25563
251	35399	25426
252	35548	25291
253	35691	25152
254	35838	25016
255	35990	24883
256	36141	24750
257	36293	24617
258	36443	24483
259	36580	24340
260	36715	24195
261	36849	24050
262	36979	23903
263	37114	23758
264	37265	23624
265	37406	23484
266	37548	23344
267	37694	23207
268	37850	23076
269	38027	22957
270	38162	22813
271	38293	22666
272	38459	22540
273	38606	22403
274	38744	22260
275	38882	22117
276	39021	21975
277	39173	21841
278	39368	21730
279	39563	21618
280	39710	21480
281	39855	21341
282	40052	21229
283	40206	21094
284	40350	20954
285	40489	20810
286	40630	20669
287	40773	20528
288	40903	20380
289	41028	20231
290	41164	20087
291	41302	19944
292	41438	19800
293	41581	19659
294	41757	19534
295	41952	19417
296	42109	19282
297	42259	19144
298	42393	18998
299	42542	18860
300	42680	18717
301	42813	18571
302	42944	18425
303	43066	18274
304	43206	18132
305	43384	18006
306	43569	17882
307	43717	17742
308	43836	17591
309	43955	17440
310	44075	17290
311	44221	17150
312	44362	17007
313	44486	16859
314	44621	16715
315	44746	16567
316	44879	16422
317	45005	16275
318	45135	16129
319	45255	15981
320	45374	15831
321	45490	15681
322	45609	15532
323	45728	15384
324	45853	15237
325	45972	15089
326	46092	14941
327	46213	14793
328	46340	14648
329	46478	14507
330	46629	14369
331	46756	14224
332	46887	14080
333	47013	13935
334	47142	13790
335	47270	13646
336	47397	13501
337	47517	13355
338	47635	13208
339	47756	13062
340	47878	12917
341	47999	12771
342	48116	12625
343	48234	12479
344	48353	12333
345	48471	12188
346	48592	12043
347	48716	11899
348	48855	11758
349	48979	11615
350	49105	11471
351	49234	11329
352	49365	11187
353	49491	11044
354	49615	10901
355	49740	10758
356	49861	10614
357	49977	10470
358	50098	10326
359	50217	10182
360	50337	10039
361	50456	9896
362	50576	9752
363	50705	9611
364	50865	9476
365	50988	9333
366	51121	9193
367	51246	9051
368	51371	8910
369	51499	8768
370	51629	8628
371	51756	8486
372	51889	8346
373	52008	8204
374	52130	8062
375	52248	7920
376	52368	7778
377	52485	7636
378	52603	7494
379	52723	7353
380	52843	7212
381	52961	7070
382	53081	6929
383	53202	6788
384	53337	6649
385	53464	6509
386	53593	6370
387	53718	6230
388	53849	6090
389	53974	5950
390	54102	5811
391	54226	5671
392	54343	5531
393	54464	5391
394	54587	5251
395	54705	5111
396	54826	4971
397	54945	4831
398	55065	4692
399	55188	4553
400	55307	4413
401	55426	4274
402	55555	4135
403	55689	3997
404	55819	3859
405	55950	3720
406	56080	3582
